m,TagName,
"2009-11-01 00:00:00","c#","4676"
"2009-12-01 00:00:00","javascript","2305"
"2009-12-01 00:00:00","shell","101"
"2009-12-01 00:00:00","sql","1188"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","fortran","13"
"2009-12-01 00:00:00","erlang","65"
"2009-12-01 00:00:00","ruby","571"
"2009-12-01 00:00:00","python","1585"
"2009-12-01 00:00:00","groovy","50"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","php","2803"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c++","1651"
"2009-12-01 00:00:00","scala","84"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","clojure","38"
"2009-12-01 00:00:00","objective-c","782"
"2009-12-01 00:00:00","lua","25"
"2009-12-01 00:00:00","haskell","74"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","cobol","3"
"2009-12-01 00:00:00","swift","1"
"2009-12-01 00:00:00","java","2683"
"2009-12-01 00:00:00","c#","4482"
"2010-01-01 00:00:00","ruby","682"
"2010-01-01 00:00:00","haskell","61"
"2010-01-01 00:00:00","c#","5111"
"2010-01-01 00:00:00","objective-c","991"
"2010-01-01 00:00:00","c","978"
"2010-01-01 00:00:00","lua","22"
"2010-01-01 00:00:00","javascript","2625"
"2010-01-01 00:00:00","python","1935"
"2010-01-01 00:00:00","erlang","56"
"2010-01-01 00:00:00","perl","300"
"2010-01-01 00:00:00","clojure","37"
"2010-01-01 00:00:00","scala","105"
"2010-01-01 00:00:00","fortran","11"
"2010-01-01 00:00:00","shell","117"
"2010-01-01 00:00:00","groovy","63"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","c++","1994"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","sql","1253"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","java","3721"
"2010-01-01 00:00:00","cobol","9"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","php","3405"
"2010-02-01 00:00:00","objective-c","1008"
"2010-02-01 00:00:00","c","1033"
"2010-02-01 00:00:00","php","3142"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","scala","115"
"2010-02-01 00:00:00","c#","5093"
"2010-02-01 00:00:00","sql","1285"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","python","1861"
"2010-02-01 00:00:00","clojure","40"
"2010-02-01 00:00:00","c++","2275"
"2010-02-01 00:00:00","erlang","66"
"2010-02-01 00:00:00","javascript","2638"
"2010-02-01 00:00:00","haskell","92"
"2010-02-01 00:00:00","fortran","13"
"2010-02-01 00:00:00","shell","123"
"2010-02-01 00:00:00","groovy","59"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","swift","2"
"2010-02-01 00:00:00","cobol","7"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","lua","22"
"2010-03-01 00:00:00","php","3714"
"2010-03-01 00:00:00","delphi","317"
"2010-03-01 00:00:00","haskell","92"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","c++","2431"
"2010-03-01 00:00:00","objective-c","1129"
"2010-03-01 00:00:00","python","2070"
"2010-03-01 00:00:00","c","1113"
"2010-03-01 00:00:00","javascript","2987"
"2010-03-01 00:00:00","clojure","40"
"2010-03-01 00:00:00","c#","6025"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","ruby","693"
"2010-03-01 00:00:00","scala","116"
"2010-03-01 00:00:00","lua","30"
"2010-03-01 00:00:00","java","4438"
"2010-03-01 00:00:00","erlang","53"
"2010-03-01 00:00:00","groovy","64"
"2010-03-01 00:00:00","swift","1"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","fortran","19"
"2010-03-01 00:00:00","cobol","6"
"2010-03-01 00:00:00","sql","1462"
"2010-03-01 00:00:00","shell","168"
"2010-03-01 00:00:00","assembly","123"
"2010-04-01 00:00:00","sql","1322"
"2010-04-01 00:00:00","objective-c","1155"
"2010-04-01 00:00:00","shell","141"
"2010-04-01 00:00:00","c","1181"
"2010-04-01 00:00:00","javascript","3011"
"2010-04-01 00:00:00","scala","163"
"2010-04-01 00:00:00","haskell","82"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","groovy","70"
"2010-04-01 00:00:00","cobol","5"
"2010-04-01 00:00:00","lua","36"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","c#","5773"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","php","3621"
"2010-04-01 00:00:00","c++","2487"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","python","1806"
"2010-04-01 00:00:00","delphi","270"
"2010-04-01 00:00:00","java","3874"
"2010-04-01 00:00:00","clojure","45"
"2010-04-01 00:00:00","swift","2"
"2010-04-01 00:00:00","fortran","13"
"2010-04-01 00:00:00","erlang","33"
"2010-04-01 00:00:00","perl","363"
"2010-05-01 00:00:00","javascript","3233"
"2010-05-01 00:00:00","erlang","36"
"2010-05-01 00:00:00","swift","1"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","clojure","67"
"2010-05-01 00:00:00","lua","64"
"2010-05-01 00:00:00","c","1177"
"2010-05-01 00:00:00","c#","5924"
"2010-05-01 00:00:00","sql","1446"
"2010-05-01 00:00:00","haskell","117"
"2010-05-01 00:00:00","c++","2414"
"2010-05-01 00:00:00","shell","139"
"2010-05-01 00:00:00","java","4165"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","fortran","18"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","groovy","79"
"2010-05-01 00:00:00","objective-c","1306"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","cobol","1"
"2010-05-01 00:00:00","php","3951"
"2010-05-01 00:00:00","scala","167"
"2010-05-01 00:00:00","perl","286"
"2010-06-01 00:00:00","scala","173"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","haskell","108"
"2010-06-01 00:00:00","javascript","3478"
"2010-06-01 00:00:00","erlang","43"
"2010-06-01 00:00:00","python","2202"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","c++","2822"
"2010-06-01 00:00:00","objective-c","1433"
"2010-06-01 00:00:00","java","4275"
"2010-06-01 00:00:00","c#","6138"
"2010-06-01 00:00:00","groovy","92"
"2010-06-01 00:00:00","cobol","3"
"2010-06-01 00:00:00","c","1153"
"2010-06-01 00:00:00","sql","1624"
"2010-06-01 00:00:00","fortran","14"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4064"
"2010-06-01 00:00:00","clojure","77"
"2010-06-01 00:00:00","lua","41"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","swift","3"
"2010-06-01 00:00:00","shell","200"
"2010-07-01 00:00:00","sql","1825"
"2010-07-01 00:00:00","java","4504"
"2010-07-01 00:00:00","fortran","23"
"2010-07-01 00:00:00","php","4568"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","c","1284"
"2010-07-01 00:00:00","javascript","3877"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","scala","185"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","c++","2674"
"2010-07-01 00:00:00","erlang","26"
"2010-07-01 00:00:00","clojure","95"
"2010-07-01 00:00:00","lua","34"
"2010-07-01 00:00:00","python","2583"
"2010-07-01 00:00:00","cobol","10"
"2010-07-01 00:00:00","haskell","126"
"2010-07-01 00:00:00","shell","185"
"2010-07-01 00:00:00","c#","6675"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","rust","1"
"2010-07-01 00:00:00","ruby","910"
"2010-07-01 00:00:00","objective-c","1931"
"2010-07-01 00:00:00","swift","1"
"2010-07-01 00:00:00","groovy","56"
"2010-08-01 00:00:00","javascript","3999"
"2010-08-01 00:00:00","perl","545"
"2010-08-01 00:00:00","fortran","23"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","php","5098"
"2010-08-01 00:00:00","objective-c","1870"
"2010-08-01 00:00:00","c#","6953"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","clojure","100"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","ruby","992"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","lua","41"
"2010-08-01 00:00:00","java","4695"
"2010-08-01 00:00:00","c++","2626"
"2010-08-01 00:00:00","shell","204"
"2010-08-01 00:00:00","sql","1912"
"2010-08-01 00:00:00","python","2490"
"2010-08-01 00:00:00","swift","2"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","haskell","98"
"2010-08-01 00:00:00","cobol","4"
"2010-08-01 00:00:00","erlang","43"
"2010-08-01 00:00:00","scala","170"
"2010-08-01 00:00:00","groovy","59"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","python","2247"
"2010-09-01 00:00:00","objective-c","1652"
"2010-09-01 00:00:00","swift","2"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","haskell","111"
"2010-09-01 00:00:00","groovy","96"
"2010-09-01 00:00:00","javascript","4000"
"2010-09-01 00:00:00","sql","1742"
"2010-09-01 00:00:00","c#","6408"
"2010-09-01 00:00:00","scala","225"
"2010-09-01 00:00:00","c++","2726"
"2010-09-01 00:00:00","c","1371"
"2010-09-01 00:00:00","erlang","51"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","java","4704"
"2010-09-01 00:00:00","lua","41"
"2010-09-01 00:00:00","cobol","5"
"2010-09-01 00:00:00","fortran","20"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4661"
"2010-09-01 00:00:00","shell","228"
"2010-09-01 00:00:00","clojure","90"
"2010-09-01 00:00:00","delphi","319"
"2010-10-01 00:00:00","objective-c","1736"
"2010-10-01 00:00:00","sql","1846"
"2010-10-01 00:00:00","python","2669"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","c","1438"
"2010-10-01 00:00:00","perl","498"
"2010-10-01 00:00:00","fortran","24"
"2010-10-01 00:00:00","scala","219"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","groovy","101"
"2010-10-01 00:00:00","javascript","4106"
"2010-10-01 00:00:00","haskell","146"
"2010-10-01 00:00:00","java","5016"
"2010-10-01 00:00:00","shell","211"
"2010-10-01 00:00:00","c++","2929"
"2010-10-01 00:00:00","kotlin","2"
"2010-10-01 00:00:00","clojure","77"
"2010-10-01 00:00:00","cobol","3"
"2010-10-01 00:00:00","php","4475"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","c#","6725"
"2010-10-01 00:00:00","erlang","48"
"2010-10-01 00:00:00","swift","1"
"2010-10-01 00:00:00","lua","38"
"2010-11-01 00:00:00","groovy","82"
"2010-11-01 00:00:00","scala","211"
"2010-11-01 00:00:00","c","1673"
"2010-11-01 00:00:00","delphi","389"
"2010-11-01 00:00:00","javascript","4542"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c++","3364"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","clojure","85"
"2010-11-01 00:00:00","cobol","5"
"2010-11-01 00:00:00","fortran","20"
"2010-11-01 00:00:00","shell","206"
"2010-11-01 00:00:00","sql","1971"
"2010-11-01 00:00:00","lua","38"
"2010-11-01 00:00:00","ruby","927"
"2010-11-01 00:00:00","c#","7308"
"2010-11-01 00:00:00","java","5586"
"2010-11-01 00:00:00","objective-c","1828"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","python","2602"
"2010-11-01 00:00:00","swift","1"
"2010-11-01 00:00:00","erlang","88"
"2010-11-01 00:00:00","kotlin","1"
"2010-11-01 00:00:00","haskell","156"
"2010-11-01 00:00:00","php","5072"
"2010-11-01 00:00:00","perl","464"
"2010-12-01 00:00:00","sql","1895"
"2010-12-01 00:00:00","c++","3128"
"2010-12-01 00:00:00","scala","225"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","groovy","68"
"2010-12-01 00:00:00","kotlin","1"
"2010-12-01 00:00:00","python","2472"
